code,description,unit
02,"ГУРУҲ ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ Изоҳ: 1. Ушбу гуруҳга қуйидагилар киритилмайди: (а) 0201-0208 ёки 0210-гуруҳларига кирувчи инсон истеъмоли учун яроқсиз ёки тўғри келмайдиган маҳсулотлар; (б) истеъмолга яроқли тирик бўлмаган ҳашаротлар (0410-товар позицияси); (в) ҳайвонларнинг ичаклари, ошқозон ва пуфакчалари (0504-товар позицияси) ёки ҳайвонлар қони (0511 ёки 3002-товар позицияси); (г) келиб чиқиши ҳайвонга мансуб ёғлар, 0209-товар позициясидаги маҳсулотлардан ташқари (15-гуруҳ). Қўшимча изоҳлар: 1. (А) Келтирилган атамалар қуйидаги маъноларни англатади: (а) 0201 10 ва 0202 10-субпозицияларидаги “қорамол тана гўшти” – қонсизлантирилган, ичи тозаланган ва тери шилингандан кейинги, боши билан ёки бошсиз, оёқлари билан ёки оёқсиз, бошқа ажратилмаган субмаҳсулотлар билан ёки уларсиз импорт қилинадиган сўйилган ҳайвонларнинг бутун танаси. Тана гўшти калласиз импорт қилинган ҳолда, калла тана гўштидан атланто-энса бўғиндан ажратилган бўлиши шарт. Тана гўшти оёқларсиз импорт қилинган ҳолда, оёқлар кафт-билак ва кафт- болдир бўғинлардан (кесилган) ажратилган бўлишлари шарт; “тана гўшти” тананинг олди қисмини барча суякларни ўз ичига олган бўлиши керак, шунингдек, бўйин қисми ва курак қисмининг қовурға бўлимида 10 жуфтдан ортиқ қовурғалар бўлиши керак; (б) 0201 10 ва 0202 10-субпозицияларидаги “қорамолларнинг ярим тана гўшти” – ҳар бир бўйин, кўкрак, бел ва тос умуртқаларининг ва бутун тана гўшт марказидан кўкрак ва қуймуч-қов уланган қисмини симметрик тарзда кесиш натижасида ҳосил бўлган маҳсулот; “ярим тана” ярим тананинг олд қисмининг барча суякларини ва кесилган жойни ўз ичига шундай олиши керакки, бўйин қисмининг курак соҳасининг қовурға қисмида 10 жуфтдан ортиқ қовурға бўлиши керак; (в) 0201 20 200 ва 0202 20 100-подсубпозициялардаги “компенсацияланган чорак нимталар”- тана гўштининг бир қисми бўлиб, қуйидагилардан иборат: – ёки олд чорак нимталар ўнинчи қовурға даражасида кесилган, бўйин қисми ва курак соҳасининг қовурға қисми барча суякларини ва кесилган жойни ўз ичига олган ва орқа чорак нимталар учинчи қовурға даражасида кесилган сон ва биқинни барча суяклар билан ўз ичига олган бўлиши мумкин; – ёки олд чорак нимталардан бешинчи қовурға даражасида кўкрак ва қорин қисми билан кесилган, бўйин қисми ва курак соҳасининг қовурға қисми барча суякларини ва кесилган жойни ўз ичига олган ва орқа чорак нимталар саккизинчи қовурға даражасида кесилган, сон ва биқинни барча суяклар билан ўз ичига олган бўлиши мумкин. “Компенсацияланган чорак нимталар”ни ташкил қилувчи олд ва орқа чорак нимталар: Бир вақтнинг ўзида ва тенг миқдорда импорт қилиниши керак, бунда олдинги чорак нимталарнинг умумий оғирлиги орқа чорак нимталарнинг умумий оғирлигига тенг бўлиши керак. Шу билан бирга партиядаги икки қисмларининг (олдинги ёки орқа чорак нимталар) тафовутига, лекин оғирлигининг 5% дан ортиқ бўлмаган ҳолда йўл қўйилади. (г) 0201 20 300 ва 0202 20 300 подсубпозициялардаги “бўлинмаган олдинги чорак нимталар” – бўйин қисми ва курак соҳасининг қовурға қисмини, барча суякларини ва кесилган жойни ўз ичига олган, камида тўрт жуфт кўпи билан ўн жуфт қовурға (биринчи тўрт жуфт қовурға бутун бўлиши керак, қолганлари кесилган бўлиши мумкин) қорин қисми ёки қорин қисмисиз бўлган тананинг олд қисми; (д) 0201 20 300 ва 0202 20 300 подсубпозициялардаги “бўлинган олдинги чорак",жуфт
0201,Янги сўйилган ёки совутилган йирик шохли қорамол гўшти:,
0201100000,тана ва ярим тана,кг
020120,"бошқа бўлаклар, суякдан ажратилмаган ҳолда:",
0201202000,– “компенсацияланган” чорак нимталар,кг
0201203000,– бўлинган ёки бўлинмаган олдинги чорак нимталар,кг
0201205000,– бўлинган ёки бўлинмаган орқа чорак нимталар,кг
0201209000,– бошқалар,кг
0201300000,суякдан ажратилган гўшт,кг
0202,Музлатилган йирик шохли қорамол гўшти:,
