code,description,unit
220840,ром ва бошқа ачиттирган маҳсулотларни дистилляция қилиш натижасида шакар қамишидан олинган спирт дамламаси: – – 2 ли ва ундан кам бўлган қуйидаги ҳажмдаги идишларда:,
2208401100,"– – таркибида учувчи моддалар бўлган ром, этил ва метил л 100% спиртларидан ташқари, 1 гектолитр соф спирт учун 225 г ва спирт ундан кўп (10% мумкин бўлган оғиши билан) – – – бошқалар:",л 100% спирт
2208403100,"– – – тоза спиртнинг 1 л учун 7,9 евродан кўп қиймати билан",л 100% спирт
2208403900,– – – бошқалар – – 2 л дан кўп бўлган қуйидаги ҳажмдаги идишларда:,л 100% спирт
177,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2208405100,"– – таркибида учувчи моддалар бўлган ром, этил ва метил л 100% спиртларидан ташқари, 1 гектолитр соф спирт учун 225 г ва спирт ундан кўп (10% мумкин бўлган оғиши билан) – – – бошқалар:",л 100% спирт
2208409100,– – – тоза спиртнинг 1 л учун 2 евродан кўп қиймати билан,л 100% спирт
2208409900,– – – бошқалар,л 100% спирт
220850,"жин ва арча уруғи солинган дамламаси: – – жин, қуйидаги ҳажмдаги идишларда:",
2208501100,– – 2 л ёки ундан кам,л 100% спирт
2208501900,"– – 2 л дан кўп – – арча уруғи солинган дамламаси, қуйидаги ҳажмдаги идишларда:",л 100% спирт
2208509100,– – 2 л ёки ундан кам л 100% спирт,л 100% спирт
2208509900,– – 2 л дан кўп л 100% спирт,л 100% спирт
220860,"водка (ароқ): – – 45,4 айл.% ёки ундан камроқ спиртнинг концентрацияси билан, қуйидаги ҳажмдаги идишларда:",
2208601100,– – 2 л ёки ундан кам л 100% спирт,л 100% спирт
2208601900,"– – 2 л дан кўп л 100% спирт – – 45,4 айл.% дан кўп бўлган спиртнинг концентрацияси билан, қуйидаги ҳажмдаги идишларда:",л 100% спирт
2208609100,– – 2 л ёки ундан кам л 100% спирт,л 100% спирт
2208609900,– – 2 л дан кўп л 100% спирт,л 100% спирт
220870,ликерлар:,
2208701000,– 2 л ёки ундан кам бўлган қуйидаги ҳажмдаги идишларда л 100% спирт,л 100% спирт
2208709000,– 2 л дан кўп бўлган қуйидаги ҳажмдаги идишларда л 100% спирт,л 100% спирт
220890,"бошқалар: – – ароқ, қуйидаги ҳажмдаги идишларда:",
2208901100,– – 2 л ёки ундан кам л 100% спирт,л 100% спирт
2208901900,"– – 2 л дан кўп л 100% спирт – – олхўри, нок ёки олча спирт дамламаси (ликерларни истисно қилган ҳолда), қуйидаги ҳажмдаги идишларда:",л 100% спирт
178,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2208903300,– – 2 л ёки ундан кам л 100% спирт,л 100% спирт
2208903800,"– – 2 л дан кўп л 100% спирт – – бошқа спирт дамламаси ва бошқа спирт ичимликлари, қуйидаги ҳажмдаги идишларда: – – – 2 л ёки ундан кам:",л 100% спирт
2208904100,– – – узо л 100% спирт – – – – бошқалар: – – – – – спирт дамламаси (ликерларни истисно қилган ҳолда): – – – – – – мевалардан қайта узатган:,л 100% спирт
2208904500,– – – – – – кальвадос л 100% спирт,л 100% спирт
2208904800,– – – – – – бошқалар л 100% спирт – – – – – – бошқалар:,л 100% спирт
2208905400,– – – – – – текила л 100% спирт,л 100% спирт
220890560,– – – – – – бошқалар:,
2208905601,– – – – – – – мескаль л 100% спирт,л 100% спирт
2208905602,– – – – – – – шочу л 100% спирт,л 100% спирт
2208905608,– – – – – – – бошқалар л 100% спирт,л 100% спирт
220890690,– – – – бошқа спирт ичимликлари:,
2208906901,– – – – – 7 айл.% дан кўп бўлмаган спиртнинг ҳақиқий л 100% концентрацияси билан спирт,л 100% спирт
2208906909,– – – – – бошқалар л 100% спирт – – – 2 л дан кўп: – – – – спирт дамламаси (ликерларни истисно қилган ҳолда):,л 100% спирт
2208907100,– – – – мевалардан қайта узатган л 100% спирт,л 100% спирт
2208907500,– – – – текила л 100% спирт,л 100% спирт
220890770,– – – – бошқалар:,
2208907701,– – – – – мескаль л 100% спирт,л 100% спирт
2208907702,– – – – – шочу л 100% спирт,л 100% спирт
2208907708,– – – – – бошқалар л 100% спирт,л 100% спирт
220890780,– – – бошқа спиртли ичимликлар:,
2208907801,– – – – 7 % дан кўп бўлмаган спиртнинг ҳақиқий концентрацияси л 100% билан спирт,л 100% спирт
179,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2208907809,"– – – – бошқалар л 100% спирт – – 80 % кам бўлган спирт концентрацияси билан денатурацияланмаган этил спирти, қуйидаги ҳажмдаги идишларда:",л 100% спирт
2208909100,– – 2 л ёки ундан кам л 100% спирт,л 100% спирт
2208909900,– – 2 л дан кўп л 100% спирт,л 100% спирт
220900,"Сирка ва сирка кислотасидан олинган унинг ўрнини босувчилар: – вино сиркаси, қуйидаги ҳажмдаги идишларда:",
2209001100,– 2 л ёки ундан кам,л
2209001900,"– 2 л дан кўп л – бошқалар, қуйидаги ҳажмдаги идишларда:",л
2209009100,– 2 л ёки ундан кам,л
2209009900,– 2 л дан кўп,л
181,"маккажўхори уруғини ювиш жараёнида оғирлиги 15% (ҳажм) дан ошмайдиган нисбатда, қўлланиладиган, ва/ёки – маккажўхорини ювиш жараёнида намлаш учун қўлланиладиган сув қолдиқлари, шу жумладан, крахмалдан спирт ёки бошқа маҳсулотларни олишда намлаш учун қўлланиладиган сув қолдиқлари. Шунингдек, бу маҳсулотлар таркибида маккажўхори донини нам усулда майдалаш жараёни орқали мой ажратиб олишдаги қолдиқлар бўлиши мумкин. Бу маҳсулотлар таркибида бўлиши мумкин бўлган крахмал миқдори қуруқ маҳсулотга ҳисоблаганда 28% (ҳажм) дан ошмайди, ёғ миқдори қуруқ маҳсулотга ҳисоблаганда 4,5% (ҳажм) дан ошмайди ва оқсил миқдори, қуруқ маҳсулотга ҳисоблаганда 40% (ҳажм) дан ошмайди. Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги",
2301,"Истеъмол қилиш учун яроқсиз гўшт ёки гўшт маҳсулотлари, балиқ ёки қисқичбақасимонлар, моллюскалар ёки бошқа сувда яшовчи умуртқасизлардан олинган йирик ва майда тортилган ун ҳамда гранулалари; шкваркалари:",
2301100000,гўшт ёки гўшт ярим маҳсулотларидан тайёрланган йирик ва – майда тортилган ун ва гранулалари; шкваркалари,кг
2301200000,"балиқ ёки қисқичбақасимонлар, моллюскалар ёки бошқа сувда – яшовчи умуртқасизларнинг йирик ва майда тортилган ун ва гранулалари",кг
2302,"Дон ёки дуккакли экинларни элакдан ўтказиш, майдалаш ёки бошқа қайта ишлаш натижасида ҳосил бўлган кепак, сомон, пулпа ва бошқа қолдиқлари, гранулаланган ёки гранулаланмаган:",
230210,маккажўхори:,
2302101000,– таркибида крахмал миқдори 35 % (ҳажм) дан кўп бўлмаган,кг
2302109000,– бошқа,кг
230230,буғдой:,
2302301000,"– таркибида крахмал миқдори 28 % (ҳажм) дан кўп бўлмаган ва – ўлчами 0,2 мм дан кўп бўлмаган элакдан ўтган ёки элакдан ўтган фракция миқдори 10 % (ҳажм) дан кўп бўлмаган, қуруқ моддалар бўйича кул миқдори 1,5% (ҳажм) ёки ундан кўп",кг
2302309000,– бошқа,кг
230240,бошқа донлар: – – гуручлар:,
2302400200,– – таркибида крахмал миқдори 35 % (ҳажм) дан кўп бўлмаган,кг
2302400800,– – бошқа – – – бошқалар:,кг
2302401000,"– – таркибида крахмал миқдори 28 % (ҳажм) дан кўп бўлмаган ва – ўлчами 0,2 мм дан кўп бўлмаган элакдан ўтган ёки элакдан ўтган фракция миқдори 10 % (ҳажм) дан кўп бўлмаган, қуруқ моддалар бўйича кул миқдори 1,5% (ҳажм) ёки ундан кўп",кг
2302409000,– – бошқа,кг
2302500000,дуккаклилар,кг
182,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2303,"Крахмал ишлаб чиқариш қолдиқлари ва шунга ўхшаш қолдиқлар, лавлаги турпи, шакарқамиш қолдиғи ёки шакарқамиш турпи ва шакар ишлаб чиқаришнинг бошқа чиқиндилари, пиво тайёрлаш ёки вино дистиллашнинг бошқа чиқиндилари, гранулаланган ёки гранулаланмаган:",
230310,"крахмал ишлаб чиқаришдаги қолдиқлар ва шунга ўхшаш қолдиқлар: – – маккажўхоридан крахмал ишлаб чиқаришдаги қолдиқлар (концентрланган намлаш суюқлиги бундан мустасно), таркибидаги оқсил миқдори қуруқ моддага ҳисоблаганда:",
2303101100,– – 40% (ҳажм) дан кўп,кг
2303101900,– – 40% (ҳажм) дан кўп эмас,кг
2303109000,– бошқа,кг
230320,"лавлаги турпи, шакарқамиш қолдиғи ёки шакарқамиш турпи ва шакар ишлаб чиқаришнинг бошқа қўшимча маҳсулотлари:",
2303201000,– лавлаги турпи,кг
2303209000,– бошқа,кг
2303300000,пиво тайёрлаш ёки вино дистиллаш натижасида ҳосил бўлган – барда ва бошқа чиқиндилар,кг
230400000,"Соя мойини ажратиб олиш натижасида қолган қолдиқлар ва бошқа қаттиқ қолдиқлар, майдаланган ёки майдаланмаган, гранулаланган ёки гранулаланмаган:",кг
2304000001,соя шроти,кг
2304000009,бошқалар,кг
2305000000,"Ерёнғоқ мойини ажратиб олиш натижасида қолган қолдиқлар ва – бошқа қаттиқ қолдиқлар, майдаланган ёки майдаланмаган, гранулаланган ёки гранулаланмаган:",кг
23062304,"ёки 2305-товар позицияларида кўрсатилгандан ташқари, келиб чиқиши ўсимлик ёки микробиологик бўлган ёғ ёки мойларни ажратиб олиш натижасида қолган қолдиқлар ва бошқа қаттиқ қолдиқлар, майдаланган ёки майдаланмаган, гранулаланган ёки гранулаланмаган:",
2306100000,пахта чигитидан,кг
2306200000,зиғир уруғидан,кг
2306300000,кунгабоқар уруғидан – – рапс ёки колзалар уруғидан:,кг
2306410000,"– таркибида кам миқдорда эрук кислотаси бўлган рапс ёки колза – уруғидан,",кг
2306490000,– бошқа,кг
2306500000,кокос ёнғоғи ёки копрадан (мағзидан),кг
2306600000,мойли пальма ёнғоқларининг мева қобиғи ёки ўзакларидан,кг
230690,бошқалар:,
2306900500,– маккажўхори уруғидан – – – бошқалар: – – – зайтун мойини олишдаги қолдиқлар ва бошқа қолдиқлар,кг
2306901100,– – – таркибида зайтун мойи 3 % (ҳажм) ёки ундан кам,кг
2306901900,– – – таркибида зайтун мойи 3 % (ҳажм) дан кўп,кг
183,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2306909000,– – бошқа,кг
230700,Вино чўкиндиси; вино тоши: – вино чўкиндиси:,
2307001100,"– умумий спирт концентрацияси 7,9 % (ҳажм) дан кўп бўлмаган ва – қуруқ моддалар миқдори 25% (ҳажм)дан кам бўлмаган",кг
2307001900,– бошқа,кг
2307009000,вино тоши,кг
230800,"Ўсимлик маҳсулотлари ва ўсимлик чиқиндилари, ўсимлик қолдиқлари ва қўшимча маҳсулотлар, гранулаланмаган ёки гранулаланган, ҳайвонлар озуқасида фойдаланиладиган, бошқа жойда кўрсатилмаган ёки киритилмаган: – узум қолдиғи:",
2308001100,"– умумий спирт концентрацияси 4,3 % (ҳажм) дан кўп бўлмаган ва – қуруқ моддалар миқдори 40% (мас).дан кам бўлмаган",кг
2308001900,– бошқа,кг
2308004000,бошоқлар ва от каштанлари; олма қолдиғи ва узумдан бошқа – меваларнинг қолдиқлари,кг
2308009000,бошқалар,кг
2309,Ҳайвонлар учун озуқа сифатидан фойдаланиладиган маҳсулотлар:,
230910,"чакана савдо учун ит ёки мушук озуқаси: – – 1702 30 500, 1702 30 900, 1702 40 900, 1702 90 500 ва 2106",
905400,"подсубпозицияга киритилган, таркибида крахмал, глюкоза, глюкоза сиропи, мальтодекстрин ёки мальтодекстрин сиропи, ёки сут маҳсулотлари: – – – таркибида крахмал, глюкоза, глюкоза сиропи, мальтодекстрин ёки мальтодекстрин сиропи бўлган: – – – – таркибида крахмал бўлмаган ёки крахмал миқдори 10 % (ҳажм) ёки ундан кам бўлган:",
2309101100,– – – – таркибида сут маҳсулотлари бўлмаган ёки сут – маҳсулотларининг миқдори 10 % дан кам бўлган,кг
2309101300,"– – – – таркибида сут маҳсулотлари миқдори камида 10% (ҳажм), – лекин 50 % (ҳажм) дан кам бўлган",кг
2309101500,"– – – – таркибида сут маҳсулотлари миқдори камида 50 % (ҳажм), – лекин 75% (ҳажм) дан кам бўлган",кг
2309101900,"– – – – таркибида сут маҳсулотларининг миқдори камида 75 % – (ҳажм) бўлган – – – – таркибида крахмал миқдори 10% (ҳажм) дан кўп, лекин 30 % (ҳажм) дан кўп бўлмаган:",кг
2309103100,– – – – таркибида сут маҳсулотлари бўлмаган ёки шундай – маҳсулотларнинг миқдори 10 % дан кам бўлган,кг
2309103300,"– – – – таркибида сут маҳсулотлари миқдори камида 10% (ҳажм), – лекин 50 % (ҳажм) дан кам бўлган",кг
2309103900,– – – – таркибида сут маҳсулотларининг миқдори камида 50 % – (ҳажм) бўлган – – – – таркибида крахмал миқдори 30% (ҳажм) дан кўп бўлган:,кг
184,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2309105100,– – – – таркибида сут маҳсулотлари бўлмаган ёки шундай – маҳсулотларнинг миқдори 10 % дан кам бўлган,кг
2309105300,"– – – – таркибида сут маҳсулотлари миқдори камида 10% (ҳажм), – лекин 50 % (ҳажм) дан кам бўлган",кг
2309105900,– – – – таркибида сут маҳсулотларининг миқдори камида 50 % – (ҳажм) бўлган,кг
2309107000,"– – таркибида крахмал, глюкоза, глюкоза сиропи, – мальтодекстрин ёки мальтодекстрин сиропи бўлмаган, аммо сут маҳсулотлари мавжуд бўлган",кг
2309109000,– бошқа,кг
230990,бошқалар:,
2309901000,– эрийдиган балиқ маҳсулотлари ёки денгиз сут – эмизувчиларидан олинган маҳсулотлар,кг
2309902000,"– ушбу бобнинг 5-қўшимча изоҳида тавсифланган маҳсулотлар – – – бошқалар: – – – 1702 30 500, 1702 30 900, 1702 40 900 0, 1702 90 500 0 ва 2106",кг
905400,"подсубпозицияга киритилган, таркибида крахмал, глюкоза, глюкоза сиропи, мальтодекстрин ёки мальтодекстрин сиропи ёки сут маҳсулотлари бўлган: – – – – таркибида крахмал, глюкоза, глюкоза сиропи, мальтодекстрин ёки мальтодекстрин сиропи бўлган: – – – – – таркибида крахмал бўлмаган ёки крахмал миқдори 10 % (ҳажм) ёки ундан кам бўлган:",
2309903100,– – – – – таркибида сут маҳсулотлари бўлмаган ёки шундай – маҳсулотларнинг миқдори 10 % дан кам бўлган,кг
2309903300,"– – – – – таркибида сут маҳсулотлари миқдори камида 10% – (ҳажм), лекин 50 % (ҳажм) дан кам бўлган",кг
2309903500,"– – – – – таркибида сут маҳсулотлари миқдори камида 50 % – (ҳажм), лекин 75% (ҳажм) дан кам бўлган",кг
2309903900,"– – – – – таркибида сут маҳсулотларининг миқдори камида 75 % – (ҳажм) бўлган – – – – – таркибида крахмал миқдори 10% (ҳажм) дан кўп, лекин 30 % (ҳажм) дан кўп бўлмаган:",кг
2309904100,– – – – – таркибида сут маҳсулотлари бўлмаган ёки шундай – маҳсулотларнинг миқдори 10 % дан кам бўлган,кг
2309904300,"– – – – – таркибида сут маҳсулотлари миқдори камида 10% – (ҳажм), лекин 50 % (ҳажм) дан кам бўлган",кг
2309904900,– – – – – таркибида сут маҳсулотларининг миқдори камида 50 % – (ҳажм) бўлган – – – – – таркибида крахмал миқдори 30% (ҳажм) дан кўп бўлган:,кг
2309905100,– – – – – таркибида сут маҳсулотлари бўлмаган ёки шундай – маҳсулотларнинг миқдори 10 % дан кам бўлган,кг
2309905300,"– – – – – таркибида сут маҳсулотлари миқдори камида 10% – (ҳажм), лекин 50 % (ҳажм) дан кам бўлган",кг
2309905900,– – – – – таркибида сут маҳсулотларининг миқдори камида 50 % – (ҳажм) бўлган,кг
185,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2309907000,"– – – таркибида крахмал, глюкоза, глюкоза сиропи, – мальтодекстрин ёки мальтодекстрин сиропи бўлмаган, лекин сут маҳсулотлари мавжуд бўлган – – – бошқа:",кг
2309909100,– – – меласса қўшилган лавлаги турпи,кг
230990960,– – – бошқа:,
2309909601,– – – – таркибида органик ёки ноорганик асосда 49% (ҳажм) ёки – ундан кўп холин хлорид бўлган,кг
2309909609,– – – – бошқа,кг
186,,
24,"ГУРУҲ ТАМАКИ ВА САНОАТДА УНИНГ ЎРНИНИ БОСУВЧИЛАР; ЁНДИРМАСДАН НАФАС ОЛИШ УЧУН МЎЛЖАЛЛАНГАН, ТАРКИБИДА НИКОТИН БЎЛГАН ЁКИ БЎЛМАГАН МАҲСУЛОТ; ТАРКИБИДА НИКОТИН БЎЛГАН ВА НИКОТИННИ ИНСОН ОРГАНИЗМИГА КИРИТИШ УЧУН МЎЛЖАЛЛАНГАН БОШҚА МАҲСУЛОТЛАР Изоҳлар: 1. Ушбу гуруҳга доривор сигареталар киритилмаган (30-гуруҳ). 2. 2404-товар позициясига ҳам, ушбу гуруҳнинг бошқа ҳар қандай позициясига киритилиши мумкин бўлган ҳар қандай маҳсулот, 2404-товар позициясига киритилиши керак. 3. 2404-позициядаги “ёнмасдан нафас олиш учун” ибораси иситиш ёрдамида ёки бошқа усуллар билан ёнмасдан нафас олишни англатади. Субпозициясига изоҳ: 1. 2403-субпозицияда “чилим учун тамаки” атамаси кальян орқали чекиш учун мўлжалланган ҳамда тамаки ва глицерин аралашмасидан ташкил топган, таркибида ароматик мойлар ва экстрактлар, мелассу ёки шакар бўлган ёки бўлмаган, мевали ёки мевали бўлмаган, хушбўй ҳидга эга бўлган ёки бўлмаган тамакини англатади. Бироқ кальян ёрдамида чекиш учун мўлжалланган тамакисиз бўлган маҳсулотлар ушбу субпозициядан чиқариб ташланади. Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги",
2401,Тамаки хом ашёси; тамаки чиқиндиси:,
240110,ажратилмаган ўрта пайчали тамаки:,
2401103500,– сояда қуритилган оч рангли тамаки,кг
2401106000,– қуёшда қуритилган Ориенталь турдаги тамаки,кг
2401107000,– сояда қуритилган тўқ рангли тамаки,кг
2401108500,– иссиқдаи қуритилган тамаки,кг
2401109500,– бошқа,кг
240120,қисман ёки тўла ажратилган ўрта пайчали тамаки,
2401203500,– сояда қуритилган оч рангли табак,кг
2401206000,– қуёшда қуритилган Ориенталь турдаги табак,кг
2401207000,– сояда қуритилган тўқ рангли тамаки,кг
240120850,– иссиқда қуритилган тамаки:,
2401208501,– – Вирджиния турдаги,кг
2401208509,– – бошқа,кг
2401209500,– бошқалар,кг
2401300000,табак чиқиндилари,кг
2402,"Сигаралар, учи кесилган сигаралар, сигариллалар ва табакдан ёки уни ўрнини босувчи сигаретлар:",
2402100000,"сигаралар, учи кесилган сигаралар ва табакли сигариллалар",1000 дона
240220,табакли сигареталар:,
2402201000,– чиннигулли,1000 дона
2402209000,– бошқалар,1000 дона
2402900000,бошқалар,кг
187,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2403,Бошқа‚ саноатда ишлаб чиқарилган тамаки ва тамакини саноат шаклида ўрнини босувчилар; “гомогенлаштирилган” ёки “ қайта тикланган” тамаки; тамаки экстрактлари ва эссенциялари: – барча пропорциядаги тамакини ўрнини босувчилари мавжуд ёки мавжуд эмас чекувчи тамаки:,
2403110000,– ушбу гуруҳнинг 1 кичик позицияга бўлган изоҳида кўрсатилган – чилим учун тамаки,кг
240319,– бошқа:,
2403191000,– – 500 г дан ошмаган нетто-массали бирламчи қопламада,кг
2403199000,– – бошқа – – бошқа:,кг
2403910000,– – “гомогенизираланган” ёки “тикланган” тамаки,кг
240399,– бошқа:,
2403991000,– – чайнайдиган ва бурунаки тамаки,кг
240399900,– – бошқа:,
2403999002,– – – табакли “кенгайтирилган” пайча,кг
2403999008,– – – бошқа,кг
2404,"Ёндирмасдан нафас олиш учун мўлжалланган тамаки, тикланган тамаки, никотин, ёки табак ва никотинни ўрнини босувчилардан иборат маҳсулот; бошқа никотиндан иборат ва инсон организмига никотин келиб тушиш учун мўлжалланган маҳсулот: – ёндирмасдан нафас олиш учун мўлжалланган маҳсулот:",
240411000,– табакдан иборат ёки тикланган тамаки:,
2404110001,– – “гомогенлаштирилган” ёки “тикланган” табакдан ёки табакли – “кенгайтирилган” пайчадан иборат,кг
2404110009,– – бошқалар,кг
2404120000,– никотиндан иборат бошқалар,кг
240419000,– бошқалар:,
2404190001,– – табакни ўрнини босувчилардан иборат,кг
2404190009,– – бошқалар – – бошқалар:,кг
240491000,– оғзи билан қўллаш учун:,
2404910001,– – чайнайдиган резинка – – – – бошқалар:,кг
2404910002,"– – – сут ёғлари, сахарозалар, изоглюкозалар, глюкозаларга эга – эмас ёки сут ёғининг 1,5 мас. фоизидан, сахароза ёки изоглюкозанинг 5 мас. фоизидан, глюкоза ёки крахмалнинг 5 мас. фоизидан кам бўлгандан иборат.",кг
2404910009,– – – бошқалар,кг
2404920000,– трансдермал қўллаш учун,кг
2404990000,– бошқалар,кг
188,V БЎЛИМ МИНЕРАЛ МАҲСУЛОТЛАР,
25,"ГУРУҲ ТУЗ; ОЛТИНГУГУРТ; ТУПРОҚЛАР ВА ТОШ; СУВОҚ МАТЕРИАЛЛАРИ, ОҲАК ВА ЦЕМЕНТ Изоҳлар: 1. Контекст ёкиушбу гуруҳнинг 4-изоҳида бошқа маълумотлар учрамаса, ушбу гуруҳга фақат хом ёки ювилган (шу жумладан, маҳсулот тузилишини ўзгартирмасдан зарарли аралашмаларни йўқ қиладиган кимёвий моддалардан фойдаланган ҳолда), парчаланган, туйилган, кукунга айлантирилган, элакдан ўтказилган, флотация йўли билан, магнитли ажратиш ёки бошқа механик ва физик жараёнларни ишлатган ҳолда бойитилган маҳсулотлар киритилади. Қиздириш ёки аралаштириш йўли билан билан олинган, кальцинацияланган ёки ҳар бир маҳсулот позицияларида кўрсатилмаган усуллар билан ишловлар берилган маҳсулотлар мазкур гуруҳга киритилмайди. Мазкур гуруҳ маҳсулотлари чанг бостирадиган агентларнинг қўшимчаларини, маҳсулотни анъанавий қўллашдан кўра, ўзига хос ҳолатларда қўллашга мослаштириб, унинг хусусиятларини ўзгартирмаслик шарти билан ўз ичига олиши мумкин. 2. Мазкур гуруҳга қуйидагилар киритилмайди: (а) сублимацияланган, тиндирилган ёки коллоид олтингугурт (товар позицияси – 2802); (б) Fe O га қайта ҳисоблаганда таркибида масса улуши 70% ёки янада кимёвий боғланган 2 3 темири бўлган минерал бўёқлар (товар позицияси – 2821); (в) доривор воситалар ёки 30-гуруҳнинг бошқа маҳсулотлари; (г) парфюмерия, косметик ёки ювиш воситалари (33-гуруҳ); (д) доломит тўлдириш учун аралашмаси (товар позицияси – 3816); (е) брусчатка, бордюр тошлари ёки кўчага ётқизиладиган плиталар (товар позицияси",кг
6801,"); мозаикалар учун кубиклар ёки ўхшаш буюмлар (товар позицияси – 6802); том ёпадиган сланецлар, қопламалар ёки гидроизоляциялар (товар позицияси – 6803); (ж) қимматбаҳо ёки яримқимматбаҳо тошлар (товар позицияси – 7102 ёки 7103); (з) ҳар бирининг оғирлиги 2,5 граммдан кам бўлмаган, сунъий йўл билан етиштирилган натрий хлориди ёки магний оксиди кристаллари (оптик элементлардан ташқари), (товар позицияси – 3824); натрий хлориди ёки магний оксидидан бўлган оптик элементлар (товар позицияси – 9001); (и) бильярд учун бўрлар (товар позицияси – 9504); (к) ёзиш ёки чизиш учун бўрлар, тикувчилар учун бўрлар (товар позицияси – 9609). 3. 2517-товар позициясига ҳам ва мазкур гуруҳнинг ҳар қандай бошқа товар позициясига ҳам қўшилиши мумкин бўлган ҳар қандай маҳсулот 2517-товар позициясига киритилиши лозим. 4. 2530-товар позициясига қуйидагилар киритилади, inter alia: кўпикланмаган вермикулит, перлит ва хлоратлар; табиий пигментлар, кальцинацияланган ва кальцинацияланмаган, аралаштирилган ёки аралаштирилмаган; табиий слюдаланган темир оксиди; сепиолит (полировкаланган ёки полировкаланмаган қисмлар кўринишида); қаҳрабо; қуйилганидан сўнг қайта ишланмаган пластинкалар, новдалар, шохчалар ёки шунга ўхшаш шакллардаги агломерлаштирилган сепиолит ва агломерлаштирилган қаҳрабо, гагат (қора қаҳрабо); стронцианит (кальцинацияланган ёки кальцинацияланмаган), стронций оксидидан, керамика, ғишт ёки бетондан ташқари. Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги",
189,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
250100,"Туз (шу жумладан, денатурацияланган ва оштузи) ва сувда эритилган, эритилмаган ёки таркибида ёпишишни олдини оладиган ёхуд сочилувчанликни таъминлайдиган агентларнинг қўшимчалари бўлган-бўлмаган соф натрий хлориди; денгиз суви:",
2501001000,"денгиз суви ва тузли эритмалар – – ош тузи(шу жумладан, денатурацияланган ва ош тузи) ва сувда эритилган ҳамда эритилмаган ёки таркибида ёпишишнинг олдини оладиган ёхуд сочилувчанликни таъминлайдиган агентларнинг қўшимчалари бўлган-бўлмаган соф натрий хлориди; денгиз суви:",кг
2501003100,– кейинчалик бошқа маҳсулотлар ишлаб чиқаришда фойдаланиш – билан кимёвий ўзгаришлар (натрий ва хлорни ажратиш) учун – – бошқа:,кг
2501005100,"– – консервалашдан ёки инсонлар учун озиқ-овқат маҳсулотлари – ёки ҳайвонлар учун ем тайёрлашдан ташқари денатурацияланган ёхуд саноат мақсадида (жумладан, тозалаш) – – – бошқа:",кг
25010091,– – – истеъмол учун яроқли туз:,
2501009110,– – – – йодланган,кг
2501009190,– – – – бошқа,кг
2501009900,– – – бошқа,кг
2502000000,Куйдирилмаган пирит,кг
250300,"Сублимацияланган, тиндирилган ёки коллоид олтингугуртдан ташқари барча кўринишдаги олтингугурт:",
2503001000,хом ёки аралашмалардан тозаланмаган олтингугурт,кг
2503009000,бошқалар,кг
2504,Табиий графит:,
2504100000,кукун ёки парчалар кўринишида,кг
2504900000,бошқалар,кг
250526,"гуруҳнинг таркибидаги металл қумлардан ташқари, бўялган ёки бўялмаган барча турдаги табиий қумлар:",
2505100000,кремнийли ва кварс қумлар,кг
2505900000,бошқалар,кг
2506,"Кварц (табиий қумлардан ташқари); кварцит, йирик майдаланган ёки майдаланмаган, арраланган ёки арраланмаган ёхуд бошқача тарзда тўғри тўртбурчак (шу жумладан, квадрат) шаклидаги блок ёки плиталарга кесилган:",
2506100000,кварц,кг
2506200000,кварцит,кг
250700,"Кальцинцияланган ёки кальцинацияланмаган, каолин ва бошқа каолин лойлари:",
2507002000,каолин,кг
2507008000,бошқа каолин лойлари,кг
2508,"Бошқа лойлар (6806-товар позициясидаги бўрттирилган лойларни олиб ташлаган ҳолда), кальцийланган ва кальцийланмаган андалузит, кианит ва силлиманит; динасли ёки шамотли тупроқлар:",
190,Қўшимча ТИФ ТН Позициянинг номи ўлчов код бирлиги,
2508100000,бентонит,кг
2508300000,ёнғинга чидамли лой,кг
2508400000,бошқа лойлар,кг
2508500000,"андалузит, кианит ва силлиманит",кг
2508600000,муллит,кг
2508700000,шамотли ёки динасли тупроқлар,кг
2509000000,Бўр,кг
2510,"Табиий кальций фосфатлари, алюминли-кальцийли табиий фосфатлар ва фосфатли бўр:",
2510100000,янчилмаган,кг
2510200000,янчилган,кг
2511,"Табиий барий сульфати (барит); табиий барий карбонати (витерит), кальцийланган ёки кальцийланмаган, 2816 товар позициясидаги барий оксидидан ташқари:",
2511100000,барий сульфати (барит),кг
2511200000,табиий барий карбонати (витерит),кг
2512000000,"Кремнийли инфузорли тупроқлар (масалан, қизилгур ва диатомит) – ва ўхшаш солиштирма оғирлиги 1 ёки ундан кам бўлган қальцийланган ёки кальцийланмаган кремнийли тупроқлар",кг
